series_id,series_name,season,episode,wh,words_count
01,Planet Earth II,1,1,3653.68,3471
01,Planet Earth II,1,2,3658.95,3476
01,Planet Earth II,1,3,3872.63,3679
01,Planet Earth II,1,4,3664.21,3481
01,Planet Earth II,1,5,3569.47,3391
01,Planet Earth II,1,6,4074.74,3871
02,Band of Brothers,1,1,4775.14,5571
02,Band of Brothers,1,2,3929.39,3209
02,Band of Brothers,1,3,3990.0,4123
02,Band of Brothers,1,4,3189.64,2977
02,Band of Brothers,1,5,5078.08,4401
02,Band of Brothers,1,6,4045.31,4315
02,Band of Brothers,1,7,6539.13,7520
02,Band of Brothers,1,8,6036.0,5533
02,Band of Brothers,1,9,3178.87,2808
02,Band of Brothers,1,10,5190.51,5104
03,Game of Thrones,1,1,3626.0,3626
03,Game of Thrones,1,2,4503.27,4128
03,Game of Thrones,1,3,5772.63,5484
03,Game of Thrones,1,4,6397.5,5971
03,Game of Thrones,1,5,6541.11,5887
03,Game of Thrones,1,6,4681.18,3979
03,Game of Thrones,1,7,5290.34,5114
03,Game of Thrones,1,8,4716.84,4481
03,Game of Thrones,1,9,5229.64,4881
03,Game of Thrones,1,10,4867.06,4137
03,Game of Thrones,2,1,5985.6,4988
03,Game of Thrones,2,2,6562.04,5359
03,Game of Thrones,2,3,5027.06,4273
03,Game of Thrones,2,4,5445.0,4356
03,Game of Thrones,2,5,6676.15,5786
03,Game of Thrones,2,6,5530.38,4793
03,Game of Thrones,2,7,6269.43,5538
03,Game of Thrones,2,8,6657.65,5659
03,Game of Thrones,2,9,4526.67,4074
03,Game of Thrones,2,10,4516.27,4441
03,Game of Thrones,3,1,4975.38,4312
03,Game of Thrones,3,2,5848.36,5361
03,Game of Thrones,3,3,5512.94,4686
03,Game of Thrones,3,4,5916.73,4832
03,Game of Thrones,3,5,5994.55,5495
03,Game of Thrones,3,6,5450.2,4451
03,Game of Thrones,3,7,5427.27,4975
03,Game of Thrones,3,8,4366.67,3930
03,Game of Thrones,3,9,4268.75,3415
03,Game of Thrones,3,10,5073.0,5073
03,Game of Thrones,4,1,5843.79,5649
03,Game of Thrones,4,2,5042.31,4370
03,Game of Thrones,4,3,6144.71,5223
03,Game of Thrones,4,4,4341.18,3690
03,Game of Thrones,4,5,5016.47,4264
03,Game of Thrones,4,6,5243.75,4195
03,Game of Thrones,4,7,5996.33,4897
03,Game of Thrones,4,8,5236.8,4364
03,Game of Thrones,4,9,3680.0,2944
03,Game of Thrones,4,10,3669.68,3792
03,Game of Thrones,5,1,4824.0,4020
03,Game of Thrones,5,2,5244.44,4720
03,Game of Thrones,5,3,5371.03,5192
03,Game of Thrones,5,4,4717.5,3774
03,Game of Thrones,5,5,4281.11,3853
03,Game of Thrones,5,6,4482.69,3885
03,Game of Thrones,5,7,4541.05,4314
03,Game of Thrones,5,8,4417.24,4270
03,Game of Thrones,5,9,3675.29,3124
03,Game of Thrones,5,10,3272.63,3109
03,Game of Thrones,6,1,3855.0,3084
03,Game of Thrones,6,2,3591.92,3113
03,Game of Thrones,6,3,4627.2,3856
03,Game of Thrones,6,4,5465.26,5192
03,Game of Thrones,6,5,4537.09,4159
03,Game of Thrones,6,6,4579.2,3816
03,Game of Thrones,6,7,5317.96,4343
03,Game of Thrones,6,8,4515.79,4290
03,Game of Thrones,6,9,3033.68,2882
03,Game of Thrones,6,10,3414.55,3756
03,Game of Thrones,7,1,4509.84,4585
03,Game of Thrones,7,2,4846.78,4766
03,Game of Thrones,7,3,5910.0,6304
03,Game of Thrones,7,4,3795.29,3226
03,Game of Thrones,7,5,4767.0,4767
03,Game of Thrones,7,6,3833.33,4600
03,Game of Thrones,7,7,4603.64,5908
04,Planet Earth,1,1,3472.34,2720
04,Planet Earth,1,2,3362.61,2578
04,Planet Earth,1,3,2745.96,2151
04,Planet Earth,1,4,3878.3,3038
04,Planet Earth,1,5,3840.0,3008
04,Planet Earth,1,6,3968.94,3109
04,Planet Earth,1,7,3131.49,2453
04,Planet Earth,1,8,4038.75,3231
04,Planet Earth,1,9,3596.25,2877
04,Planet Earth,1,10,3734.04,2925
04,Planet Earth,1,11,3777.45,2959
05,Breaking Bad,1,1,4145.26,3938
05,Breaking Bad,1,2,4023.83,3152
05,Breaking Bad,1,3,4120.85,3228
05,Breaking Bad,1,4,4921.28,3855
05,Breaking Bad,1,5,4895.74,3835
05,Breaking Bad,1,6,4352.0,3264
05,Breaking Bad,1,7,6062.67,4547
05,Breaking Bad,2,1,3972.0,2979
05,Breaking Bad,2,2,3293.33,2470
05,Breaking Bad,2,3,4429.33,3322
05,Breaking Bad,2,4,5194.09,3809
05,Breaking Bad,2,5,4433.18,3251
05,Breaking Bad,2,6,4061.74,3114
05,Breaking Bad,2,7,4973.33,3730
05,Breaking Bad,2,8,4442.67,3332
05,Breaking Bad,2,9,4385.22,3362
05,Breaking Bad,2,10,4515.65,3462
05,Breaking Bad,2,11,4458.26,3418
05,Breaking Bad,2,12,5975.22,4581
05,Breaking Bad,2,13,4509.33,3382
05,Breaking Bad,3,1,4433.18,3251
05,Breaking Bad,3,2,4562.79,3270
05,Breaking Bad,3,3,4106.09,3148
05,Breaking Bad,3,4,4786.96,3670
05,Breaking Bad,3,5,4661.33,3496
05,Breaking Bad,3,6,4226.09,3240
05,Breaking Bad,3,7,3817.33,2863
05,Breaking Bad,3,8,5153.33,3865
05,Breaking Bad,3,9,6009.13,4607
05,Breaking Bad,3,10,4200.0,3150
05,Breaking Bad,3,11,5367.39,4115
05,Breaking Bad,3,12,4904.35,3760
05,Breaking Bad,3,13,4466.09,3424
05,Breaking Bad,4,1,4629.33,3472
05,Breaking Bad,4,2,3357.33,2518
05,Breaking Bad,4,3,5858.67,4394
05,Breaking Bad,4,4,5908.64,4333
05,Breaking Bad,4,5,4077.39,3126
